,year,job_type,zipcode,LATITUDE,LONGITUDE,num_permits
53792,2006,A1,10000.0,40.782295,-73.965126,4
53793,2006,A1,10001.0,40.743731,-73.988001,1
53794,2006,A1,10001.0,40.744805,-73.993352,2
53795,2006,A1,10001.0,40.74506,-73.992053,1
53796,2006,A1,10001.0,40.745074,-73.992039,3
53797,2006,A1,10001.0,40.745112,-73.994919,2
53798,2006,A1,10001.0,40.745216,-73.992418,1
53799,2006,A1,10001.0,40.745422,-73.99290500000002,1
53800,2006,A1,10001.0,40.745628,-73.99083,1
53801,2006,A1,10001.0,40.745655,-73.991501,1
53802,2006,A1,10001.0,40.74568,-73.99079,1
53803,2006,A1,10001.0,40.745845,-73.99578100000002,1
53804,2006,A1,10001.0,40.746056,-73.992497,1
53805,2006,A1,10001.0,40.746199,-73.994107,1
53806,2006,A1,10001.0,40.74621,-73.989025,3
53807,2006,A1,10001.0,40.74624,-73.99676600000002,6
53808,2006,A1,10001.0,40.746311,-73.99114,1
53809,2006,A1,10001.0,40.746487,-73.995424,2
53810,2006,A1,10001.0,40.746501,-73.995413,3
53811,2006,A1,10001.0,40.74710200000001,-73.994973,2
53812,2006,A1,10001.0,40.747521,-73.985239,1
53813,2006,A1,10001.0,40.747535,-73.986372,1
53814,2006,A1,10001.0,40.747544,-73.994063,1
53815,2006,A1,10001.0,40.747826,-73.987101,1
53816,2006,A1,10001.0,40.747985,-73.988242,8
53817,2006,A1,10001.0,40.748038,-73.99276,1
53818,2006,A1,10001.0,40.748088,-74.001173,3
53819,2006,A1,10001.0,40.748112,-73.993543,1
53820,2006,A1,10001.0,40.748164,-73.992695,1
53821,2006,A1,10001.0,40.748178,-74.000112,1
53822,2006,A1,10001.0,40.748255,-74.00157,2
53823,2006,A1,10001.0,40.748384,-73.994139,1
53824,2006,A1,10001.0,40.748682,-73.987202,3
53825,2006,A1,10001.0,40.748779,-74.002801,1
53826,2006,A1,10001.0,40.748938,-73.98573,1
53827,2006,A1,10001.0,40.749086,-73.993893,2
53828,2006,A1,10001.0,40.749679,-73.985426,3
53829,2006,A1,10001.0,40.749876,-73.985899,1
53830,2006,A1,10001.0,40.749979,-73.995063,2
53831,2006,A1,10001.0,40.750322,-73.996763,1
53832,2006,A1,10001.0,40.750362,-73.98915799999997,1
53833,2006,A1,10001.0,40.750516,-73.989479,1
53834,2006,A1,10001.0,40.750544,-73.998365,1
53835,2006,A1,10001.0,40.751233,-74.002822,1
53836,2006,A1,10001.0,40.751422,-74.003313,2
53837,2006,A1,10001.0,40.751672,-73.998141,1
53838,2006,A1,10001.0,40.751848,-73.994694,1
53839,2006,A1,10001.0,40.751905,-73.99276,3
53840,2006,A1,10001.0,40.752364,-73.999787,1
53841,2006,A1,10001.0,40.752567,-73.99433,1
53842,2006,A1,10001.0,40.754088,-73.99799,1
