ZIP,Borough,Neighborhood,Year,Total Adjusted Gross Income (IRS),Number of Returns (IRS),AGI,AGI_num,Median HH Income ($),Mean HH Income ($),Median Home Value ($/sq. foot),% Employed,% Unemployed,% Not in Labor Force,Bordering Water,Number of Subway Stations in ZIP,Stops in ZIP,Number of Subway Lines Serving ZIP,Lines Serving ZIP,Number of Parks,Number of Playgrounds,Park Acreage,LandSqMile,Latitude,Longitude,adjacentZIP,Price_Index,Color,Probability,IncomeLow,IncomeHigh,HouseLow,HouseHigh
11385,Queens,Northwest Queens,2015,"$2,187,929,000 ","49,110","$44,552 ",44552,"$55,331.00 ","$69,571.00 ",$354.58 ,60.20%,4.70%,35%,N,4,"Fresh Pond Rd, Forest Av, Seneca Av, Halsey St",2,"M, L",13,0,19.494,3.6,40.700671,-73.889433,"11378, 11373, 11374, 11385",0.86,blue,65,46874.6,69680,0.890887346,0.913241778
11213,Brooklyn,Central Brooklyn,2015,"$1,136,714,000 ","29,630","$38,364 ",38364,"$34,701.00 ","$47,669.00 ",$425.00 ,53.20%,6.10%,40.60%,N,,,,,7,0,19.571,1.1,40.671078,-73.936336,"11216, 11233, 11212, 11203, 11225",0.85,blue,65,46874.6,69680,0.890887346,0.913241778
11422,Queens,Southeast Queens,2005,"$543,696,000 ","13,265","$40,987 ",40987,,,,,,,Y,,,,,2,0,2.81,2,40.66006,-73.736012,"11413, 11411",0.85,blue,65,43487.57892,64127.4283,0.822550449,0.978768815
11379,Queens,Northwest Queens,2014,"$1,118,676,000 ","17,470","$64,034 ",64034,"$71,393.00 ","$84,041.00 ",$383.33 ,55.80%,5%,39.10%,N,1,Middle Village - Metropolitan Av,1,M,3,0,56.115,2.1,40.716748,-73.879601,"11378, 11373, 11374, 11385",0.85,blue,65,44754.1094,66383.317,0.834928415,0.869141886
11236,Brooklyn,Canarsie and Flatlands,2015,"$2,051,880,000 ","47,900","$42,837 ",42837,"$58,705.00 ","$72,543.00 ",$252.88 ,59.70%,6.50%,33.70%,Y,2,"E 105 St, Canarsie - Rockaway Pkwy",1,L,11,0,11.487,3.6,40.639413,-73.900664,"11239, 11207, 11212, 11203, 11234",0.85,blue,65,46874.6,69680,0.890887346,0.913241778
10310,Staten Island,Port Richmond,2010,"$579,637,000 ","10,408","$55,691 ",55691,,,,,,,Y,,,,,9,0,37.992,1.8,40.632648,-74.116148," 10302, 10314, 10301",0.85,blue,65,44081.30464,64251.15544,0.791133741,0.921456724
11361,Queens,Northeast Queens,2008,"$795,528,000 ","13,394","$59,394 ",59394,,,,,,,Y,,,,,6,0,56.397,1.8,40.764191,-73.772775,"11363, 11364, 11358, 11360",0.85,blue,65,44541.41962,64579.99543,0.890607641,1.042492584
11411,Queens,Southeast Queens,2011,"$491,099,000 ","10,385","$47,289 ",47289,"$82,703.00 ","$94,772.00 ",$277.83 ,58.90%,4.30%,36.60%,N,,,,,3,0,8.72,1.2,40.694021,-73.736216,"11429, 11412, 11413, 11422",0.85,blue,65,43502.16391,62963.96339,0.749871815,0.846616676
11423,Queens,Jamaica,2010,"$608,464,000 ","14,330","$42,461 ",42461,,,,,,,N,,,,,4,0,7.113,1.4,40.715606,-73.768471,"11412, 11429, 11428, 11427, 11364, 11366, 11432, 11433",0.85,blue,65,44081.30464,64251.15544,0.791133741,0.921456724
11427,Queens,Southeast Queens,2014,"$646,678,000 ","11,510","$56,184 ",56184,"$69,847.00 ","$85,937.00 ",$342.33 ,56.80%,4.30%,38.90%,N,,,,,2,0,0.821,1.6,40.730904,-73.745661,"11426, 11362, 11364, 11423, 11428",0.85,blue,65,44754.1094,66383.317,0.834928415,0.869141886
11209,Brooklyn,Southwest Brooklyn,2007,"$2,120,235,000 ","35,038","$60,512 ",60512,,,,,,,Y,3,"77 St, 86 St, Bay Ridge - 95 St",1,R,11,0,21.9,2.2,40.621982,-74.030324,"11220, 11228",0.85,blue,65,43326.83186,63664.85351,0.892759679,1.135458269
11236,Brooklyn,Canarsie and Flatlands,2014,"$1,945,258,000 ","47,350","$41,083 ",41083,"$60,135.00 ","$73,164.00 ",$198.88 ,60.40%,6.50%,33.00%,Y,2,"E 105 St, Canarsie - Rockaway Pkwy",1,L,11,0,11.487,3.6,40.639413,-73.900664,"11239, 11207, 11212, 11203, 11234",0.85,blue,65,44754.1094,66383.317,0.834928415,0.869141886
10314,Staten Island,Mid-Island,2013,"$2,592,527,000 ","39,620","$65,435 ",65435,"$77,242.00 ","$91,434.00 ",$241.67 ,55.20%,3.90%,40.80%,Y,,,,,21,0,902.039,13.7,40.599263,-74.165748,"10303, 10302, 10310, 10301, 10304, 10306, 10308, 10312, 10309",0.85,blue,65,43815.08331,64311.00676,0.775961819,0.83549439
11234,Brooklyn,Canarsie and Flatlands,2013,"$2,423,833,000 ","41,180","$58,859 ",58859,"$68,431.00 ","$84,530.00 ",$327.00 ,58.30%,6.60%,35.00%,Y,,,,,17,0,165.244,7.5,40.60508,-73.911721,"11236, 11203, 11210, 11229",0.85,blue,65,43815.08331,64311.00676,0.775961819,0.83549439
10468,Bronx,Bronx Park and Fordham,2015,"$1,032,678,000 ","35,750","$28,886 ",28886,"$34,784.00 ","$44,912.00 ",$192.19 ,56.30%,9.80%,33.90%,Y,6,"Bedford Park Blvd, Kingsbridge Rd, Fordham Rd, Bedford Park Blvd - Lehman College, Kingsbridge Rd, Fordham Rd",3,"B, D, 4",13,0,54.915,1.1,40.868093,-73.89973,"10463, 10458, 10453",0.85,blue,65,46874.6,69680,0.890887346,0.913241778
10303,Staten Island,Port Richmond,2011,"$475,577,000 ","11,391","$41,750 ",41750,"$54,956.00 ","$68,471.00 ",$199.58 ,52.30%,4.60%,43.10%,Y,,,,,9,0,171635,3.1,40.629885,-74.17413,"10302, 10314",0.85,blue,65,43502.16391,62963.96339,0.749871815,0.846616676
11004,Queens,Southeast Queens,2011,"$402,259,000 ","6,576","$61,171 ",61171,"$79,102.00 ","$90,821.00 ",$402.42 ,59.40%,4.20%,36.40%,N,,,,,3,0,5.458,0.9,40.746204,-73.711478,"11005, 11426",0.85,blue,65,43502.16391,62963.96339,0.749871815,0.846616676
10075,Manhattan,Upper East Side,2007,"$3,683,662,000 ","11,131","$330,937 ",330937,,,,,,,N,1,77 St,1,6,0,0,0,0.2,40.773361,-73.956216,"10021, 10028",0.85,blue,65,43326.83186,63664.85351,0.892759679,1.135458269
11364,Queens,Northeast Queens,2007,"$1,062,916,000 ","18,059","$58,858 ",58858,,,,,,,N,,,,,10,0,27.212,2.5,40.745289,-73.760586,"11362, 11361, 11365, 11366",0.85,blue,65,43326.83186,63664.85351,0.892759679,1.135458269
11366,Queens,Central Queens,2007,"$417,000,000 ","6,724","$62,017 ",62017,,,,,,,N,,,,,1,0,0.749,1.1,40.728152,-73.785019,"11364, 11365, 11367, 11432, 11423",0.85,blue,65,43326.83186,63664.85351,0.892759679,1.135458269
10463,Bronx,Kingsbridge and Riverdale,2013,"$1,978,706,000 ","33,220","$59,564 ",59564,"$54,258.00 ","$76,188.00 ",$289.83 ,55.80%,6.60%,37.70%,Y,3,"238 St, 231 St, Marble Hill - 225 St",1,1,15,1,35.109,1.4,40.880678,-73.90654,"10471, 10468",0.85,blue,65,43815.08331,64311.00676,0.775961819,0.83549439
11426,Queens,Southeast Queens,2010,"$477,904,000 ","8,409","$56,832 ",56832,,,,,,,N,,,,,5,0,81.066,1.4,40.736425,-73.722376,"11362, 11427, 11428, 11429",0.85,blue,65,44081.30464,64251.15544,0.791133741,0.921456724
10462,Bronx,Southeast Bronx,2014,"$1,554,167,000 ","38,820","$40,035 ",40035,"$45,234.00 ","$55,313.00 ",$148.40 ,57.50%,8.90%,33.40%,N,5,"Zerega Av, Castle Hill Av, Parkchester, Bronx Park East, Morris Park",1,5,9,0,6.961,1.5,40.84328,-73.860389,"10465, 10472, 10460, 10467, 10461",0.85,blue,65,44754.1094,66383.317,0.834928415,0.869141886
11358,Queens,North Queens,2014,"$1,044,021,000 ","18,380","$56,802 ",56802,"$67,277.00 ","$82,641.00 ",$421.75 ,57.50%,4.70%,37.70%,N,,,,,4,0,4.434,1.9,40.760471,-73.796371,"11357, 11360, 11361, 11365, 11355, 11354",0.85,blue,65,44754.1094,66383.317,0.834928415,0.869141886
11375,Queens,Northwest Queens,2009,"$2,543,837,000 ","34,885","$72,921 ",72921,,,,,,,N,4,"Kew Gardens - Union Tpke, 75 Av, Forest Hills - 71 Av, 67 Av",4,"E, F, M, R",10,0,11.049,2,40.720934,-73.846151,"11374, 11368, 11355, 11367, 11415, 11385",0.85,blue,65,43818.55709,64797.35987,0.83252179,0.960932841
11433,Queens,Jamaica,2010,"$458,823,000 ","14,063","$32,626 ",32626,,,,,,,N,1,Jamaica Center - Parsons/Archer,3,"E, J, Z",12,0,31.89,1.6,40.698162,-73.786893,"11434, 11412, 11423, 11432, 11435",0.85,blue,65,44081.30464,64251.15544,0.791133741,0.921456724
10314,Staten Island,Mid-Island,2011,"$2,474,400,000 ","39,126","$63,242 ",63242,"$78,803.00 ","$90,905.00 ",$241.33 ,55.40%,3.50%,41.10%,Y,,,,,21,0,902.039,13.7,40.599263,-74.165748,"10303, 10302, 10310, 10301, 10304, 10306, 10308, 10312, 10309",0.85,blue,65,43502.16391,62963.96339,0.749871815,0.846616676
11354,Queens,North Queens,2015,"$1,097,065,000 ","30,070","$36,484 ",36484,"$44,741.00 ","$62,568.00 ",$476.25 ,53.70%,4.20%,42.10%,Y,1,Flushing - Main St,1,7,11,0,26.576,2.2,40.768208,-73.827403,"11356, 11357, 11358, 11355, 11368",0.85,blue,65,46874.6,69680,0.890887346,0.913241778
11372,Queens,West Queens,2015,"$1,558,394,000 ","35,250","$44,210 ",44210,"$50,485.00 ","$63,963.00 ",$402.17 ,61.60%,4.20%,34.20%,N,3,"90 St - Elmhurst Av, 82 St - Jackson Hts, 74 St - Broadway",1,7,4,0,4.752,0.7,40.75169,-73.883638,"11370, 11369, 11368, 11373, 11377",0.85,blue,65,46874.6,69680,0.890887346,0.913241778
10301,Staten Island,Stapleton and St. George,2010,"$1,025,581,000 ","16,727","$61,313 ",61313,,,,,,,Y,2,"St George, Tompkinsville",1,SIR,21,0,280.462,3.7,40.627456,-74.094407,"10310, 10314, 10304",0.85,blue,65,44081.30464,64251.15544,0.791133741,0.921456724
10305,Staten Island,Stapleton and St. George,2014,"$1,122,937,000 ","18,890","$59,446 ",59446,"$70,763.00 ","$83,184.00 ",$251.50 ,53.30%,4.60%,41.40%,Y,3,"Grasmere, Old Town, Dongan Hills",1,SIR,11,1,174.083,4.3,40.596691,-74.074866,"10304, 10306",0.85,red,22,44754.1094,66383.317,0.834928415,0.869141886
10018,Manhattan,Chelsea and Clinton,2014,"$2,787,956,000 ","6,260","$445,360 ",445360,"$100,298.00 ","$141,782.00 ","$1,513.33 ",75.50%,3.60%,20.80%,Y,5,"Times Sq - 42 St, 42 St - Port Authority Bus Terminal, 42 St - Bryant Pk, Times Sq - 42 St, 34 St - 11 Av",12,"N, Q, R, W, A, C, E, B, D, F, M, 7",1,0,9.603,0.3,40.755319,-73.993114,"10036, 10017, 10001, 10016",0.85,red,22,44754.1094,66383.317,0.834928415,0.869141886
10035,Manhattan,East Harlem,2015,"$674,307,000 ","15,380","$43,843 ",43843,"$27,424.00 ","$47,759.00 ",$785.83 ,46.60%,5.40%,32.10%,Y,1,125 St,3,"4, 5, 6",24,6,455.774,1.4,40.795455,-73.929655," 10037, 10027, 10026, 10029, 10454",0.85,red,22,46874.6,69680,0.890887346,0.913241778
11379,Queens,Northwest Queens,2008,"$992,973,000 ","16,885","$58,808 ",58808,,,,,,,N,1,Middle Village - Metropolitan Av,1,M,3,0,56.115,2.1,40.716748,-73.879601,"11378, 11373, 11374, 11385",0.85,red,22,44541.41962,64579.99543,0.890607641,1.042492584
11379,Queens,Northwest Queens,2006,"$902,611,000 ","16,383","$55,094 ",55094,,,,,,,N,1,Middle Village - Metropolitan Av,1,M,3,0,56.115,2.1,40.716748,-73.879601,"11378, 11373, 11374, 11385",0.85,red,22,44350.42332,66478.2646,0.893471665,1.130588767
11358,Queens,North Queens,2006,"$869,739,000 ","16,720","$52,018 ",52018,,,,,,,N,,,,,4,0,4.434,1.9,40.760471,-73.796371,"11357, 11360, 11361, 11365, 11355, 11354",0.85,red,22,44350.42332,66478.2646,0.893471665,1.130588767
10024,Manhattan,Upper West Side,2014,"$10,130,871,000 ","30,910","$327,754 ",327754,"$109,784.00 ","$195,208.00 ","$1,299.50 ",68%,3.40%,28.60%,Y,4,"86 St, 81 St - Museum of Natural History, 86 St, 79 St",3,"B, C, 1",2,3,19.047,0.9,40.798452,-73.974428,"10025, 10023",0.85,red,22,44754.1094,66383.317,0.834928415,0.869141886
11207,Brooklyn,East New York and New Lots,2014,"$1,281,969,000 ","42,090","$30,458 ",30458,"$33,816.00 ","$45,940.00 ",$270.42 ,49.40%,8.30%,42.30%,N,17,"Van Siclen Av, Alabama Av, Broadway Jct, Chauncey St, Wilson Av, Bushwick Av - Aberdeen St, Broadway Jct, Atlantic Av, Livonia Av, New Lots Av, Broadway Jct, Liberty Av, Van Siclen Av, Junius St, Pennsylvania Av, Van Siclen Av, New Lots Av",6,"J, Z, L, A, C, 3",55,0,52.882,2.7,40.670747,-73.894209,"11208, 11239, 11236, 11212, 11233, 11221, 11237, 11385",0.85,red,22,44754.1094,66383.317,0.834928415,0.869141886
11355,Queens,North Queens,2015,"$1,416,037,000 ","50,680","$27,941 ",27941,"$39,168.00 ","$54,472.00 ",$462.08 ,52.50%,4.10%,43.40%,N,,,,,5,0,104.475,1.7,40.751452,-73.821031,"11354, 11358, 11365, 11367, 11375, 11368",0.85,red,22,46874.6,69680,0.890887346,0.913241778
10019,Manhattan,Chelsea and Clinton,2013,"$6,040,781,000 ","24,200","$249,619 ",249619,"$84,424.00 ","$135,288.00 ","$1,207.22 ",68.60%,5%,26.40%,Y,7,"5 Av/59 St, 57 St - 7 Av, 49 St, 50 St, 57 St, 7 Av, 50 St",10,"N, W, R, Q, C, E, F, B, D, 1",3,1,7.127,0.7,40.765823,-73.987169,"10023, 10022, 10036",0.85,red,22,43815.08331,64311.00676,0.775961819,0.83549439
11366,Queens,Central Queens,2014,"$445,884,000 ","6,640","$67,151 ",67151,"$71,692.00 ","$93,798.00 ",$435.08 ,53.40%,6.10%,40.60%,N,,,,,1,0,0.749,1.1,40.728152,-73.785019,"11364, 11365, 11367, 11432, 11423",0.85,red,22,44754.1094,66383.317,0.834928415,0.869141886
10302,Staten Island,Port Richmond,2013,"$362,243,000 ","7,710","$46,984 ",46984,"$56,841.00 ","$70,132.00 ",$222.08 ,54.20%,5.40%,40.40%,Y,,,,,6,0,13.151,1.2,40.630688,-74.137776,"10303, 10310, 10314",0.85,red,22,43815.08331,64311.00676,0.775961819,0.83549439
11415,Queens,Southwest Queens,2011,"$527,211,000 ","9,469","$55,678 ",55678,"$55,515.00 ","$71,931.00 ",$311.00 ,60.40%,5.70%,33.90%,N,,,,,3,0,1.565,0.6,40.707917,-73.828212,"11385, 11375, 11435, 11418",0.85,red,22,43502.16391,62963.96339,0.749871815,0.846616676
11234,Brooklyn,Canarsie and Flatlands,2010,"$2,257,458,000 ","40,088","$56,313 ",56313,,,,,,,Y,,,,,17,0,165.244,7.5,40.60508,-73.911721,"11236, 11203, 11210, 11229",0.85,red,22,44081.30464,64251.15544,0.791133741,0.921456724
11365,Queens,Central Queens,2014,"$1,127,773,000 ","20,600","$54,746 ",54746,"$58,990.00 ","$74,919.00 ",$424.42 ,54.10%,6.30%,39.60%,N,,,,,8,0,252.178,2.5,40.739634,-73.79449,"11358, 11364, 11366, 11367, 11355",0.85,red,22,44754.1094,66383.317,0.834928415,0.869141886
11356,Queens,North Queens,2006,"$392,930,000 ","9,814","$40,038 ",40038,,,,,,,Y,,,,,7,0,42.518,1.6,40.78485,-73.841279,"11357, 11354",0.85,red,22,44350.42332,66478.2646,0.893471665,1.130588767
11419,Queens,Southwest Queens,2014,"$748,865,000 ","22,680","$33,019 ",33019,"$55,557.00 ","$68,973.00 ",$286.50 ,57%,6.50%,36.50%,N,2,"111 St, Ozone Park - Lefferts Blvd",1,A,2,0,4.56,1.1,40.688673,-73.822918,"11420, 11417, 11416, 11418, 11435",0.85,red,22,44754.1094,66383.317,0.834928415,0.869141886
11378,Queens,West Queens,2006,"$662,850,000 ","14,990","$44,219 ",44219,,,,,,,N,,,,,20,0,12.892,2.5,40.724744,-73.909639,"11101, 11377, 11373, 11379, 11385",0.85,red,22,44350.42332,66478.2646,0.893471665,1.130588767
11385,Queens,Northwest Queens,2008,"$1,694,308,000 ","44,563","$38,021 ",38021,,,,,,,N,4,"Fresh Pond Rd, Forest Av, Seneca Av, Halsey St",2,"M, L",13,0,19.494,3.6,40.700671,-73.889433,"11378, 11373, 11374, 11385",0.85,red,22,44541.41962,64579.99543,0.890607641,1.042492584
10303,Staten Island,Port Richmond,2013,"$492,630,000 ","11,700","$42,105 ",42105,"$51,537.00 ","$65,878.00 ",$194.50 ,52.40%,5.30%,42.30%,Y,,,,,9,0,171635,3.1,40.629885,-74.17413,"10302, 10314",0.85,red,22,43815.08331,64311.00676,0.775961819,0.83549439
11426,Queens,Southeast Queens,2013,"$523,875,000 ","9,180","$57,067 ",57067,"$82,301.00 ","$99,850.00 ",$329.08 ,60.20%,5.90%,33.70%,N,,,,,5,0,81.066,1.4,40.736425,-73.722376,"11362, 11427, 11428, 11429",0.85,red,22,43815.08331,64311.00676,0.775961819,0.83549439
11435,Queens,Jamaica,2014,"$1,036,823,000 ","26,040","$39,817 ",39817,"$52,939.00 ","$65,791.00 ",$293.75 ,59.60%,9.60%,30.80%,N,3,"Sutphin Blvd, Briarwood - Van Wyck Blvd, Sutphin Blvd - Archer Av - JFK Airport",4,"E, F, J, Z",8,0,9.772,1.5,40.701265,-73.809605,"11436, 11433, 11432, 11367, 11415, 11418, 11419, 11420",0.85,red,22,44754.1094,66383.317,0.834928415,0.869141886
11435,Queens,Jamaica,2009,"$859,659,000 ","23,617","$36,400 ",36400,,,,,,,N,3,"Sutphin Blvd, Briarwood - Van Wyck Blvd, Sutphin Blvd - Archer Av - JFK Airport",4,"E, F, J, Z",8,0,9.772,1.5,40.701265,-73.809605,"11436, 11433, 11432, 11367, 11415, 11418, 11419, 11420",0.85,red,22,43818.55709,64797.35987,0.83252179,0.960932841
11212,Brooklyn,Central Brooklyn,2013,"$1,043,007,000 ","36,910","$28,258 ",28258,"$28,348.00 ","$39,952.00 ",$248.25 ,46.50%,7.20%,46.20%,N,4,"Sutter Av, Sutter Av - Rutland Rd, Saratoga Av, Rockaway Av",2,"L, 3",37,0,34.355,1.5,40.662936,-73.913029,"11213, 11233, 11207, 11236, 11203",0.85,red,22,43815.08331,64311.00676,0.775961819,0.83549439
11416,Queens,Southwest Queens,2014,"$398,245,000 ","11,840","$33,636 ",33636,"$58,621.00 ","$73,653.00 ",$278.50 ,58.40%,8%,33.60%,N,1,Aqueduct Racetrack,1,A,4,0,4.41,0.7,40.684654,-73.849548,"11421, 11418, 11419, 11417",0.85,red,22,44754.1094,66383.317,0.834928415,0.869141886
11694,Queens,Rockaways,2004,"$577,738,000 ","7,898","$73,150 ",73150,,,,,,,Y,2,"Beach 105 St, Rockaway Park - Beach 116 St",3,"A, S, 6",12,0,229.724,1.4,40.57827,-73.844762,"11697, 11693",0.84,red,22,43532.17044,63267.33923,0,0
11377,Queens,West Queens,2015,"$1,889,692,000 ","45,730","$41,323 ",41323,"$50,436.00 ","$64,842.00 ",$418.33 ,60.90%,3.90%,35.10%,N,5,"65 St, Northern Blvd, 69 St, Woodside - 61 St, 52 St",3,"M, R, 7",22,0,19.839,2.5,40.744819,-73.905156,"11101, 11104, 11103, 11370, 11372, 11373, 11378",0.84,red,22,46874.6,69680,0.890887346,0.913241778
11104,Queens,Northwest Queens,2015,"$879,475,000 ","15,350","$57,295 ",57295,"$55,294.00 ","$70,828.00 ",$396.80 ,66.10%,4.90%,29.00%,N,2,"46 St, 40 St",1,7,2,0,3.077,0.4,40.744634,-73.920201,"11101, 11103, 11377",0.84,red,22,46874.6,69680,0.890887346,0.913241778
11427,Queens,Southeast Queens,2009,"$558,577,000 ","11,023","$50,674 ",50674,,,,,,,N,,,,,2,0,0.821,1.6,40.730904,-73.745661,"11426, 11362, 11364, 11423, 11428",0.84,red,22,43818.55709,64797.35987,0.83252179,0.960932841
10461,Bronx,Southeast Bronx,2013,"$1,096,894,000 ","23,340","$46,996 ",46996,"$52,347.00 ","$67,093.00 ",$454.73 ,55.00%,7.90%,37.10%,N,5,"Pelham Bay Park, Buhre Av, Middletown Rd, Westchester Sq - E Tremont Av, Pelham Pkwy",1,6,11,0,13.746,2.4,40.847381,-73.840584,"10462, 10469, 10475, 10465",0.84,red,22,43815.08331,64311.00676,0.775961819,0.83549439
10006,Manhattan,Lower Manhattan,2009,"$352,831,000 ","2,291","$154,007 ",154007,,,,,,,N,3,"Rector St, Rector St, Wall St",5,"R, W, 1, 4, 5",0,0,0,0.1,40.709614,-74.012954,"10280, 10007, 10038, 10005, 10004",0.84,red,22,43818.55709,64797.35987,0.83252179,0.960932841
10470,Bronx,Northeast Bronx,2013,"$345,546,000 ","7,390","$46,759 ",46759,"$58,600.00 ","$69,447.00 ",$205.17 ,59.10%,8.50%,32.40%,N,1,Wakefield - 241 St,1,2,2,0,1.224,1.4,40.88953,-73.872662,"10471, 10467, 10466",0.84,red,22,43815.08331,64311.00676,0.775961819,0.83549439
10306,Staten Island,South Shore,2012,"$1,736,932,000 ","25,870","$67,141 ",67141,"$77,720.00 ","$93,396.00 ",$268.92 ,55.70%,4.40%,39.80%,Y,5,"Jefferson Av, Grant City, New Dorp, Oakwood Heights, Bay Terrace",1,SIR,9,0,343.795,7.5,40.571768,-74.12595,"10314, 10304, 10305, 10308",0.84,red,22,43806.49461,64178.36753,0.743871403,0.814889738
11375,Queens,Northwest Queens,2008,"$2,835,802,000 ","35,253","$80,441 ",80441,,,,,,,N,4,"Kew Gardens - Union Tpke, 75 Av, Forest Hills - 71 Av, 67 Av",4,"E, F, M, R",10,0,11.049,2,40.720934,-73.846151,"11374, 11368, 11355, 11367, 11415, 11385",0.84,red,22,44541.41962,64579.99543,0.890607641,1.042492584
11375,Queens,Northwest Queens,2014,"$3,132,777,000 ","35,360","$88,597 ",88597,"$71,643.00 ","$94,340.00 ",$476.42 ,60.50%,4%,35.50%,N,4,"Kew Gardens - Union Tpke, 75 Av, Forest Hills - 71 Av, 67 Av",4,"E, F, M, R",10,0,11.049,2,40.720934,-73.846151,"11374, 11368, 11355, 11367, 11415, 11385",0.84,red,22,44754.1094,66383.317,0.834928415,0.869141886
11420,Queens,Southwest Queens,2009,"$740,450,000 ","20,345","$36,395 ",36395,,,,,,,N,,,,,9,0,16.202,2.1,40.673583,-73.81773,"11417, 11419, 11435, 11436",0.84,red,22,43818.55709,64797.35987,0.83252179,0.960932841
11210,Brooklyn,Flatbush,2008,"$1,601,451,000 ","27,545","$58,139 ",58139,,,,,,,N,1,Flatbush Av - Brooklyn College,2,"2, 5",5,0,7.957,1.6,40.628147,-73.946324,"11226, 11203, 11234, 11229, 11230",0.84,red,22,44541.41962,64579.99543,0.890607641,1.042492584
11237,Brooklyn,Bushwick and Williamsburg,2015,"$864,574,000 ","24,020","$35,994 ",35994,"$44,950.00 ","$62,004.00 ",$678.50 ,62.50%,9.40%,28.20%,N,5,"Myrtle - Wyckoff Avs, Knickerbocker Av, Jefferson St, DeKalb Av, Myrtle - Wyckoff Avs",2,"M, L",4,0,11.046,1,40.70416,-73.921139,"11211, 11206, 11221, 11207, 11385",0.84,red,22,46874.6,69680,0.890887346,0.913241778
11364,Queens,Northeast Queens,2014,"$1,160,627,000 ","17,280","$67,166 ",67166,"$72,344.00 ","$86,922.00 ",$454.42 ,57.30%,4.50%,38.20%,N,,,,,10,0,27.212,2.5,40.745289,-73.760586,"11362, 11361, 11365, 11366",0.84,red,22,44754.1094,66383.317,0.834928415,0.869141886
11203,Brooklyn,Flatbush,2014,"$1,416,696,000 ","37,250","$38,032 ",38032,"$46,630.00 ","$60,629.00 ",$248.92 ,53.50%,7.50%,39.00%,N,,,,,7,0,16.513,2.1,40.649591,-73.934371,"11225, 11213, 11212, 11236, 11234, 11210, 11226",0.84,red,22,44754.1094,66383.317,0.834928415,0.869141886
11224,Brooklyn,Southern Brooklyn,2013,"$717,045,000 ","19,420","$36,923 ",36923,"$27,481.00 ","$46,350.00 ",$347.83 ,40.70%,8.20%,51.00%,Y,3,"W 8 St - NY Aquarium, Coney Island - Stillwell Av, Neptune Av",4,"F, Q, D, N",18,0,90.452,1.5,40.577372,-73.988706,"11214, 11223, 11235",0.84,red,22,43815.08331,64311.00676,0.775961819,0.83549439
11365,Queens,Central Queens,2007,"$1,007,902,000 ","20,091","$50,167 ",50167,,,,,,,N,,,,,8,0,252.178,2.5,40.739634,-73.79449,"11358, 11364, 11366, 11367, 11355",0.84,red,22,43326.83186,63664.85351,0.892759679,1.135458269
11412,Queens,Jamaica,2013,"$741,383,000 ","18,430","$40,227 ",40227,"$70,672.00 ","$80,374.00 ",$238.17 ,58.70%,11%,30.20%,N,,,,,3,0,3.63,1.6,40.698095,-73.758986,"11423, 11429, 11411, 11413, 11434, 11433",0.84,red,22,43815.08331,64311.00676,0.775961819,0.83549439
10302,Staten Island,Port Richmond,2011,"$351,169,000 ","7,395","$47,487 ",47487,"$56,518.00 ","$67,999.00 ",$218.83 ,53.70%,4.60%,41.80%,Y,,,,,6,0,13.151,1.2,40.630688,-74.137776,"10303, 10310, 10314",0.84,blue,65,43502.16391,62963.96339,0.749871815,0.846616676
10304,Staten Island,Stapleton and St. George,2010,"$1,298,567,000 ","18,201","$71,346 ",71346,,,,,,,N,2,"Stapleton, Clifton",1,SIR,11,0,32.054,3.9,40.609227,-74.092575,"10301, 10305, 10306, 10314",0.84,blue,65,44081.30464,64251.15544,0.791133741,0.921456724
11209,Brooklyn,Southwest Brooklyn,2006,"$1,929,305,000 ","32,678","$59,040 ",59040,,,,,,,Y,3,"77 St, 86 St, Bay Ridge - 95 St",1,R,11,0,21.9,2.2,40.621982,-74.030324,"11220, 11228",0.84,blue,65,44350.42332,66478.2646,0.893471665,1.130588767
11102,Queens,Northwest Queens,2010,"$804,873,000 ","20,400","$39,455 ",39455,,,,,,,Y,2,"Astoria Blvd, 30 Av",2,"N, W",11,0,13.619,0.8,40.772884,-73.926295,"11105, 11103, 11106",0.84,blue,65,44081.30464,64251.15544,0.791133741,0.921456724
11413,Queens,Southeast Queens,2013,"$934,909,000 ","20,830","$44,883 ",44883,"$78,667.00 ","$89,814.00 ",$252.75 ,60.60%,5.80%,33.60%,N,,,,,7,0,32.667,3.1,40.671659,-73.752568,"11422, 11411, 11412, 11434",0.84,blue,65,43815.08331,64311.00676,0.775961819,0.83549439
11103,Queens,Northwest Queens,2015,"$1,123,475,000 ","21,380","$52,548 ",52548,"$59,243.00 ","$74,020.00 ",$654.70 ,68.30%,5.60%,26.10%,N,1,46 St,2,"M, R",3,0,2.882,0.7,40.762574,-73.913447,"11102, 11105, 11370, 11377, 11101, 11106",0.84,blue,65,46874.6,69680,0.890887346,0.913241778
11427,Queens,Southeast Queens,2010,"$576,151,000 ","11,194","$51,470 ",51470,,,,,,,N,,,,,2,0,0.821,1.6,40.730904,-73.745661,"11426, 11362, 11364, 11423, 11428",0.84,blue,65,44081.30464,64251.15544,0.791133741,0.921456724
