Zip Code,maxlat,maxlon,minlat,minlon
11234,40.6412,-73.8935,40.5839,-74.0243
11235,40.5946,-73.9263,40.5748,-73.9699
11236,40.6747,-73.8814,40.626,-73.9978
11237,40.7144,-73.9024,40.6912,-73.9341
11238,40.6899,-73.9552,40.6631,-73.9815
11239,40.6594,-73.8658,40.6415,-73.8893
11242,40.6934,-73.9906,40.6931,-73.9907
11243,40.6851,-73.9779,40.6851,-73.9779
11249,40.724,-73.9548,40.6979,-73.9685
11354,40.7769,-73.8054,40.7521,-73.8488
11355,40.7625,-73.8034,40.739,-73.8376
11356,40.7952,-73.8255,40.776,-73.8581
11357,40.7976,-73.7919,40.7744,-73.8307
11358,40.7746,-73.7805,40.7484,-73.8088
11359,40.7964,-73.7775,40.7964,-73.7775
11360,40.7889,-73.7687,40.7704,-73.794
11361,40.7734,-73.7571,40.7528,-73.7893
11362,40.7717,-73.7142,40.7427,-73.7493
11363,40.7814,-73.7339,40.7654,-73.7545
11364,40.7585,-73.7415,40.7343,-73.7798
11365,40.7511,-73.7736,40.7272,-73.8117
11366,40.7356,-73.7701,40.72,-73.8463
11367,40.7622,-73.809,40.7171,-73.8377
11368,40.7641,-73.8399,40.735,-73.9486
11369,40.7704,-73.8556,40.756,-73.8965
11370,40.7912,-73.8828,40.7545,-73.9059
11371,40.7897,-73.8725,40.7716,-73.8892
11372,40.7569,-73.8699,40.7466,-73.8965
11373,40.7488,-73.8647,40.7284,-73.8914
11374,40.7359,-73.8518,40.7117,-73.8716
11375,40.74,-73.8198,40.7084,-73.8743
11377,40.7647,-73.8891,40.7295,-73.9357
11378,40.7393,-73.8618,40.7129,-73.9298
11379,40.7301,-73.8655,40.707,-73.902
11381,40.7124,-73.8431,40.7092,-73.8912
11385,40.7286,-73.7995,40.6914,-73.9224
11405,40.7048,-73.7943,40.7048,-73.7943
11411,40.7026,-73.7268,40.6847,-73.7481
11412,40.712,-73.7365,40.6855,-73.7763
11413,40.6895,-73.7333,40.6523,-73.7667
11414,40.6731,-73.8272,40.6488,-73.8603
11415,40.7151,-73.8217,40.7009,-73.8361
11416,40.6911,-73.8356,40.6794,-73.8652
11417,40.6853,-73.8316,40.6671,-73.8622
11418,40.71,-73.8147,40.6895,-73.8503
11419,40.697,-73.8087,40.6798,-73.8372
11420,40.7033,-73.7362,40.6633,-73.8341
11421,40.7015,-73.8153,40.6819,-73.868
11422,40.7735,-73.7254,40.6355,-73.9346
11423,40.7293,-73.7536,40.706,-73.7815
11426,40.753,-73.7111,40.7232,-73.7347
11427,40.7387,-73.7325,40.7178,-73.7662
11428,40.7288,-73.7293,40.7139,-73.7566
11429,40.7197,-73.7277,40.7016,-73.7535
11430,40.6669,-73.7845,40.6454,-73.8111
11432,40.728,-73.7747,40.7019,-73.8123
11433,40.708,-73.7718,40.6871,-73.8026
11434,40.6968,-73.7579,40.6562,-73.7939
11435,40.7179,-73.7936,40.6841,-73.8245
11436,40.6861,-73.7863,40.6664,-73.8051
11439,40.7204,-73.7922,40.7204,-73.7981
11451,40.7918,-73.7368,40.6492,-73.8885
11557,40.6079,-73.7487,40.6079,-73.7487
11580,40.6832,-73.7257,40.6727,-73.7278
11691,40.6132,-73.7392,40.5918,-73.7848
11692,40.599,-73.7698,40.5866,-73.8047
11693,40.6123,-73.8046,40.5832,-73.8225
11694,40.5866,-73.8177,40.5694,-73.8654
11697,40.5673,-73.8886,40.5539,-73.9308
12534,40.7159,-74.0092,40.7159,-74.0092
