LAT_TRIM,LON_TRIM,Zip Code,crime_count
40.5293,-74.2184,10309,1
40.5294,-74.1614,10312,3
40.5295,-74.211,10309,1
40.5295,-74.2055,10309,2
40.5296,-74.2026,10309,1
40.5296,-74.1626,10312,2
40.5297,-74.1966,10309,1
40.5303,-74.2111,10309,2
40.5303,-74.1911,10312,1
40.5305,-74.2019,10309,1
40.5305,-74.1622,10312,1
40.5305,-74.1604,10312,1
40.5307,-74.2227,10309,1
40.5308,-74.2187,10309,1
40.5309,-74.2005,10309,1
40.5309,-74.194,10312,1
40.5311,-74.2028,10309,1
40.5315,-74.1915,10312,2
40.5316,-74.2063,10309,1
40.5317,-74.2223,10309,1
40.5317,-74.2195,10309,1
40.5317,-74.2029,10309,2
40.5317,-74.1851,10312,1
40.5319,-74.1917,10312,1
40.5321,-74.2231,10309,1
40.5321,-74.196,10312,2
40.5323,-74.2221,10309,1
40.5323,-74.2187,10309,1
40.5325,-74.2031,10309,2
40.5326,-74.1968,10312,1
40.5326,-74.1555,10312,1
40.5328,-74.2073,10309,1
40.533,-74.1899,10312,1
40.5331,-74.1518,10312,1
40.5331,-74.1511,10312,1
40.5332,-74.2377,10309,1
40.5333,-74.1734,10312,1
40.5335,-74.1506,10312,1
40.5336,-74.1927,10312,1
40.5338,-74.1656,10312,1
40.534,-74.2058,10309,1
40.5341,-74.1706,10312,1
40.5342,-74.2039,10309,1
40.5343,-74.2362,10309,6
40.5343,-74.193,10312,1
40.5343,-74.1639,10312,1
40.5343,-74.154,10312,3
40.5344,-74.1521,10312,1
40.5345,-74.2183,10309,1
40.5346,-74.1499,10312,1
40.5347,-74.1814,10312,1
40.5347,-74.1742,10312,1
40.5348,-74.2028,10309,1
40.5348,-74.2001,10309,1
40.5348,-74.155,10312,2
40.5348,-74.1515,10312,2
40.535,-74.1949,10312,1
40.535,-74.1836,10312,2
40.5351,-74.1934,10312,1
40.5353,-74.2395,10309,2
40.5353,-74.2116,10309,2
40.5354,-74.2406,10309,1
40.5356,-74.2228,10309,1
40.5356,-74.2117,10309,1
40.5356,-74.1579,10312,1
40.5358,-74.2047,10309,1
40.5358,-74.1861,10312,1
40.536,-74.1497,10312,1
40.5361,-74.2066,10309,1
40.5361,-74.1829,10312,1
40.5362,-74.2008,10309,2
40.5362,-74.1623,10312,2
40.5363,-74.222,10309,1
40.5363,-74.2091,10309,1
40.5363,-74.1653,10312,1
40.5363,-74.1559,10312,1
40.5365,-74.205,10309,1
40.5366,-74.2381,10309,1
40.5366,-74.1579,10312,1
40.5366,-74.1531,10312,1
40.5368,-74.2403,10309,2
40.5371,-74.2185,10309,1
40.5372,-74.2053,10309,2
40.5372,-74.1507,10308,1
40.5374,-74.2178,10309,1
40.5375,-74.1932,10312,2
40.5375,-74.1503,10308,1
40.5377,-74.1652,10312,1
40.5377,-74.1529,10312,2
40.5378,-74.2373,10309,1
40.5378,-74.2336,10309,1
40.538,-74.2184,10309,1
40.5381,-74.2217,10309,1
40.5381,-74.1817,10312,1
40.5382,-74.1846,10312,1
40.5382,-74.14699999999998,10308,2
40.5383,-74.2177,10309,1
40.5383,-74.1596,10312,1
40.5384,-74.2211,10309,2
40.5384,-74.2188,10309,1
40.5384,-74.1782,10312,1
40.5384,-74.1438,10308,1
40.5385,-74.1433,10308,1
40.5387,-74.2217,10309,1
40.5389,-74.2222,10309,1
40.5389,-74.2019,10309,1
40.5389,-74.1979,10312,1
40.5389,-74.1938,10312,1
40.5389,-74.1909,10312,1
40.5389,-74.1463,10308,1
40.539,-74.1487,10308,1
40.5391,-74.2092,10309,1
40.5391,-74.1729,10312,2
40.5392,-74.2216,10309,1
40.5392,-74.2121,10309,1
40.5393,-74.2208,10309,1
40.5394,-74.2177,10309,2
40.5395,-74.2064,10309,1
40.5395,-74.1887,10312,1
40.5395,-74.1721,10312,1
40.5396,-74.1838,10312,1
40.5397,-74.1526,10308,2
40.5398,-74.2094,10309,1
40.5398,-74.1764,10312,1
40.5398,-74.1753,10312,1
40.5399,-74.2065,10309,1
40.5399,-74.1772,10312,1
40.5399,-74.1714,10312,1
40.5399,-74.1701,10312,2
40.5399,-74.161,10312,1
40.54,-74.2196,10309,1
40.54,-74.1634,10312,1
40.54,-74.1575,10312,2
40.5401,-74.2177,10309,1
40.5402,-74.2376,10309,1
40.5402,-74.2095,10309,1
40.5402,-74.2081,10309,1
40.5402,-74.1945,10312,1
40.5402,-74.1916,10312,1
40.5404,-74.2162,10309,1
40.5404,-74.1601,10312,1
40.5404,-74.15100000000002,10308,1
40.5404,-74.1477,10308,1
40.5406,-74.2219,10309,1
40.5406,-74.1768,10312,1
40.5407,-74.2008,10312,1
40.5407,-74.1759,10312,1
40.5408,-74.1774,10312,1
40.5409,-74.1976,10312,1
40.5409,-74.1516,10308,2
40.541,-74.1998,10312,1
40.541,-74.1875,10312,1
40.541,-74.1774,10312,2
40.541,-74.1458,10308,1
40.5412,-74.2154,10309,1
40.5412,-74.1633,10312,1
40.5413,-74.2069,10309,1
40.5415,-74.1951,10312,1
40.5415,-74.1666,10312,1
40.5416,-74.2031,10309,1
40.5417,-74.208,10309,1
40.5417,-74.1661,10312,1
40.5418,-74.207,10309,1
40.5418,-74.1755,10312,1
40.5418,-74.1465,10308,1
40.5419,-74.2061,10309,1
40.5419,-74.1822,10312,5
40.542,-74.2165,10309,2
40.542,-74.2052,10309,1
40.542,-74.2045,10309,1
40.542,-74.1766,10312,1
40.5421,-74.1631,10312,4
40.5421,-74.15,10308,2
40.5422,-74.2035,10309,2
40.5422,-74.1706,10312,1
40.5423,-74.1925,10312,1
40.5424,-74.1651,10312,1
40.5425,-74.1542,10308,1
40.5426,-74.2183,10309,7
40.5426,-74.1725,10312,1
40.5427,-74.2194,10309,1
40.5427,-74.2084,10309,4
40.5427,-74.2007,10312,1
40.5428,-74.1602,10312,1
40.5429,-74.2002,10312,1
40.5429,-74.1957,10312,3
40.5429,-74.1626,10312,1
40.543,-74.1983,10312,1
40.543,-74.1772,10312,1
40.543,-74.1639,10312,6
40.543,-74.1421,10308,1
40.5432,-74.1738,10312,1
40.5433,-74.217,10309,1
40.5433,-74.1759,10312,1
40.5434,-74.1656,10312,1
40.5434,-74.1486,10308,1
40.5435,-74.182,10312,1
40.5436,-74.1645,10312,1
40.5436,-74.1458,10308,1
40.5437,-74.2088,10309,1
40.5437,-74.1442,10308,1
40.544,-74.2336,10309,1
40.544,-74.165,10312,1
40.5441,-74.2169,10309,1
40.5443,-74.2091,10309,1
40.5443,-74.1668,10312,1
40.5444,-74.1654,10312,2
40.5444,-74.1516,10308,1
40.5445,-74.1692,10312,1
40.5445,-74.1433,10308,1
40.5445,-74.1407,10308,2
40.5447,-74.2175,10309,3
40.5447,-74.157,10308,1
40.5448,-74.2201,10309,1
40.5448,-74.1485,10308,1
40.5448,-74.1472,10308,1
40.5448,-74.1419,10308,1
40.5449,-74.1797,10312,1
40.5449,-74.1614,10312,2
40.5449,-74.1401,10308,1
40.545,-74.1957,10312,1
40.545,-74.1685,10312,1
40.5451,-74.175,10312,1
40.5451,-74.1493,10308,1
40.5453,-74.2162,10309,1
40.5453,-74.2104,10309,2
40.5453,-74.1964,10312,2
40.5453,-74.1848,10312,1
40.5454,-74.2095,10309,3
40.5454,-74.1859,10312,2
40.5454,-74.1657,10312,2
40.5454,-74.1645,10312,1
40.5454,-74.1582,10308,2
40.5454,-74.1537,10308,2
40.5455,-74.1503,10308,1
40.5455,-74.1488,10308,2
40.5456,-74.1757,10312,1
40.5456,-74.1391,10308,1
40.5457,-74.1986,10312,1
40.5458,-74.2038,10312,1
40.5458,-74.1866,10312,1
40.5458,-74.1707,10312,1
40.5459,-74.2145,10309,1
40.5459,-74.2018,10312,2
40.5459,-74.1678,10312,1
40.5461,-74.1808,10312,2
40.5462,-74.1797,10312,1
40.5463,-74.2293,10309,1
40.5463,-74.166,10312,1
40.5463,-74.1589,10308,2
40.5463,-74.152,10308,2
40.5464,-74.1939,10312,2
40.5464,-74.1828,10312,1
40.5464,-74.1738,10312,1
40.5466,-74.2289,10309,1
40.5466,-74.1582,10308,1
40.5467,-74.1418,10308,5
40.5467,-74.1399,10308,2
40.5468,-74.1511,10308,2
40.5468,-74.1409,10308,1
40.5469,-74.1487,10308,1
40.547,-74.22,10309,2
40.547,-74.19,10312,3
40.547,-74.1497,10308,1
40.5472,-74.1799,10312,1
40.5473,-74.2178,10309,1
40.5473,-74.175,10312,1
40.5473,-74.1388,10308,1
40.5474,-74.1995,10312,1
40.5474,-74.1786,10312,1
40.5474,-74.1662,10312,1
40.5475,-74.1824,10312,1
40.5475,-74.1565,10308,1
40.5475,-74.1441,10308,1
40.5476,-74.1761,10312,1
40.5477,-74.1879,10312,1
40.5478,-74.2204,10309,1
40.5478,-74.2141,10309,1
40.5479,-74.2151,10309,1
40.548,-74.2162,10309,1
40.548,-74.192,10312,1
40.548,-74.1704,10312,1
40.548,-74.1591,10308,1
40.5481,-74.2135,10309,1
40.5481,-74.1524,10308,1
40.5482,-74.1993,10312,3
40.5483,-74.2205,10309,1
40.5483,-74.1682,10312,1
40.5483,-74.161,10308,2
40.5483,-74.1553,10308,1
