,year,job_type,zipcode,LATITUDE,LONGITUDE,num_permits
530174,2016,A1,10002.0,40.715405,-73.991638,2
530175,2016,A1,10002.0,40.716059,-73.991454,1
530176,2016,A1,10002.0,40.71647,-73.991068,1
530177,2016,A1,10002.0,40.71655300000001,-73.995751,2
530178,2016,A1,10002.0,40.71667100000001,-73.990116,2
530179,2016,A1,10002.0,40.717025,-73.988063,2
530180,2016,A1,10002.0,40.71705,-73.991487,3
530181,2016,A1,10002.0,40.717258,-73.989813,1
530182,2016,A1,10002.0,40.717264,-73.992435,2
530183,2016,A1,10002.0,40.717631,-73.9921,1
530184,2016,A1,10002.0,40.717707,-73.983828,1
530185,2016,A1,10002.0,40.717711,-73.995191,1
530186,2016,A1,10002.0,40.71773,-73.99249300000002,1
530187,2016,A1,10002.0,40.718071,-73.99202,2
530188,2016,A1,10002.0,40.718106,-73.984622,1
530189,2016,A1,10002.0,40.71823300000001,-73.991937,1
530190,2016,A1,10002.0,40.718575,-73.985318,1
530191,2016,A1,10002.0,40.718592,-73.99000699999998,3
530192,2016,A1,10002.0,40.718622,-73.98529599999998,1
530193,2016,A1,10002.0,40.718858,-73.984362,1
530194,2016,A1,10002.0,40.719232,-73.99385600000002,2
530195,2016,A1,10002.0,40.719269,-73.985718,2
530196,2016,A1,10002.0,40.719807,-73.983048,1
530197,2016,A1,10002.0,40.719996,-73.98267299999998,3
530198,2016,A1,10002.0,40.720129,-73.989213,3
530199,2016,A1,10002.0,40.720442,-73.988182,2
530200,2016,A1,10002.0,40.720541,-73.98898299999998,1
530201,2016,A1,10002.0,40.720685,-73.98326800000002,3
530202,2016,A1,10002.0,40.720798,-73.985151,3
530203,2016,A1,10002.0,40.720839,-73.984145,2
530204,2016,A1,10002.0,40.721218,-73.983946,1
530205,2016,A1,10002.0,40.721537,-73.988737,1
530206,2016,A1,10002.0,40.721798,-73.991969,1
530207,2016,A1,10002.0,40.721922,-73.991904,1
530208,2016,A1,10002.0,40.721973,-73.987409,1
530209,2016,A1,10002.0,40.72202,-73.99337299999998,2
530210,2016,A1,10002.0,40.722165,-73.98816,2
530211,2016,A1,10002.0,40.722794,-73.988206,1
530212,2016,A1,10002.0,40.72343400000001,-73.992853,1
530213,2016,A1,10003.0,40.724671,-73.987434,1
530214,2016,A1,10003.0,40.725325,-73.989238,2
530215,2016,A1,10003.0,40.725435,-73.99212800000002,3
530216,2016,A1,10003.0,40.72652100000001,-73.98835,1
530217,2016,A1,10003.0,40.726785,-73.991644,1
530218,2016,A1,10003.0,40.727496,-73.993477,2
530219,2016,A1,10003.0,40.727598,-73.993365,4
530220,2016,A1,10003.0,40.727793,-73.991225,2
530221,2016,A1,10003.0,40.728306,-73.992755,1
530222,2016,A1,10003.0,40.728364,-73.992734,1
530223,2016,A1,10003.0,40.728382,-73.987188,2
530224,2016,A1,10003.0,40.728594,-73.992506,1
530225,2016,A1,10003.0,40.728747,-73.988,3
530226,2016,A1,10003.0,40.728789,-73.99234399999997,1
530227,2016,A1,10003.0,40.728819,-73.987498,1
530228,2016,A1,10003.0,40.729376,-73.99342299999998,4
530229,2016,A1,10003.0,40.729484,-73.99556899999997,1
530230,2016,A1,10003.0,40.729565,-73.986289,1
530231,2016,A1,10003.0,40.729574,-73.988166,2
530232,2016,A1,10003.0,40.730479,-73.988458,1
530233,2016,A1,10003.0,40.730625,-73.988793,2
530234,2016,A1,10003.0,40.730784,-73.99046,2
