Zip Code,Filing Year,Job Type,Count
10003,1995,A1,61
10003,1995,A2,527
10003,1995,DM,6
10003,1995,NB,0
10003,1996,A1,47
10003,1996,A2,539
10003,1996,DM,1
10003,1996,NB,2
10003,1997,A1,65
10003,1997,A2,531
10003,1997,DM,1
10003,1997,NB,3
10003,1998,A1,56
10003,1998,A2,591
10003,1998,DM,1
10003,1998,NB,1
10003,1999,A1,44
10003,1999,A2,705
10003,1999,DM,6
10003,1999,NB,3
10003,2000,A1,36
10003,2000,A2,719
10003,2000,DM,0
10003,2000,NB,0
10003,2001,A1,40
10003,2001,A2,640
10003,2001,DM,0
10003,2001,NB,1
10003,2002,A1,49
10003,2002,A2,695
10003,2002,DM,1
10003,2002,NB,3
10003,2003,A1,46
10003,2003,A2,713
10003,2003,DM,5
10003,2003,NB,3
10003,2004,A1,36
10003,2004,A2,737
10003,2004,DM,3
10003,2004,NB,4
10003,2005,A1,46
10003,2005,A2,731
10003,2005,DM,8
10003,2005,NB,3
10003,2006,A1,47
10003,2006,A2,810
10003,2006,DM,13
10003,2006,NB,9
10003,2007,A1,42
10003,2007,A2,918
10003,2007,DM,4
10003,2007,NB,3
10003,2008,A1,30
10003,2008,A2,967
10003,2008,DM,3
10003,2008,NB,5
10003,2009,A1,23
10003,2009,A2,840
10003,2009,DM,2
10003,2009,NB,2
10003,2010,A1,34
10003,2010,A2,902
10003,2010,DM,1
10003,2010,NB,1
10003,2011,A1,34
10003,2011,A2,1028
10003,2011,DM,7
10003,2011,NB,1
10003,2012,A1,38
10003,2012,A2,917
10003,2012,DM,2
10003,2012,NB,6
10003,2013,A1,24
10003,2013,A2,1045
10003,2013,DM,0
10003,2013,NB,2
10003,2014,A1,37
10003,2014,A2,1060
10003,2014,DM,4
10003,2014,NB,1
10003,2015,A1,24
10003,2015,A2,974
10003,2015,DM,8
10003,2015,NB,3
10003,2016,A1,26
10003,2016,A2,1043
10003,2016,DM,2
10003,2016,NB,4
10003,2017,A1,22
10003,2017,A2,924
10003,2017,DM,6
10003,2017,NB,3
10003,1989,A1,0
10003,1989,A2,0
10003,1989,DM,0
10003,1989,NB,0
10004,1990,A1,0
10004,1990,A2,103
10004,1990,DM,0
10004,1990,NB,0
10004,1991,A1,1
10004,1991,A2,197
10004,1991,DM,0
10004,1991,NB,0
10004,1992,A1,3
10004,1992,A2,155
10004,1992,DM,0
10004,1992,NB,0
10004,1993,A1,6
10004,1993,A2,198
10004,1993,DM,0
10004,1993,NB,0
10004,1994,A1,3
10004,1994,A2,255
10004,1994,DM,0
10004,1994,NB,0
10004,1995,A1,5
10004,1995,A2,170
10004,1995,DM,0
10004,1995,NB,0
10004,1996,A1,5
10004,1996,A2,181
10004,1996,DM,0
10004,1996,NB,1
10004,1997,A1,5
10004,1997,A2,244
10004,1997,DM,0
10004,1997,NB,0
10004,1998,A1,10
10004,1998,A2,313
10004,1998,DM,0
10004,1998,NB,0
10004,1999,A1,7
10004,1999,A2,331
10004,1999,DM,0
10004,1999,NB,0
10004,2000,A1,4
10004,2000,A2,390
10004,2000,DM,0
10004,2000,NB,0
10004,2001,A1,5
10004,2001,A2,237
10004,2001,DM,0
10004,2001,NB,0
10004,2002,A1,2
10004,2002,A2,197
10004,2002,DM,0
10004,2002,NB,0
10004,2003,A1,8
10004,2003,A2,244
10004,2003,DM,0
10004,2003,NB,0
10004,2004,A1,4
10004,2004,A2,238
10004,2004,DM,0
10004,2004,NB,0
10004,2005,A1,7
10004,2005,A2,234
10004,2005,DM,1
10004,2005,NB,1
10004,2006,A1,8
10004,2006,A2,279
10004,2006,DM,1
10004,2006,NB,0
10004,2007,A1,10
10004,2007,A2,268
10004,2007,DM,0
10004,2007,NB,0
10004,2008,A1,5
10004,2008,A2,236
10004,2008,DM,13
10004,2008,NB,1
10004,2009,A1,2
10004,2009,A2,208
10004,2009,DM,0
10004,2009,NB,1
10004,2010,A1,3
10004,2010,A2,168
10004,2010,DM,0
10004,2010,NB,0
10004,2011,A1,5
10004,2011,A2,228
10004,2011,DM,0
10004,2011,NB,1
10004,2012,A1,7
10004,2012,A2,257
10004,2012,DM,9
10004,2012,NB,0
10004,2013,A1,7
