Zip_Code,YEAR,CRIME_COUNT
10036,2011,2177
10036,2012,2522
10036,2013,2367
10036,2014,2374
10036,2015,2295
10036,2016,2635
10037,2006,635
10037,2007,790
10037,2008,794
10037,2009,666
10037,2010,734
10037,2011,773
10037,2012,715
10037,2013,789
10037,2014,969
10037,2015,776
10037,2016,708
10038,2006,495
10038,2007,506
10038,2008,482
10038,2009,457
10038,2010,442
10038,2011,461
10038,2012,442
10038,2013,439
10038,2014,420
10038,2015,453
10038,2016,504
10039,2006,1115
10039,2007,1159
10039,2008,1193
10039,2009,1064
10039,2010,1064
10039,2011,943
10039,2012,890
10039,2013,801
10039,2014,873
10039,2015,967
10039,2016,996
10040,2006,721
10040,2007,741
10040,2008,736
10040,2009,780
10040,2010,676
10040,2011,776
10040,2012,706
10040,2013,686
10040,2014,622
10040,2015,671
10040,2016,672
10041,2006,8
10041,2007,10
10041,2009,13
10041,2010,8
10041,2012,12
10041,2014,10
10041,2015,2
10041,2013,5
10041,2016,5
10041,2008,7
10041,2011,7
10043,2016,1
10044,2006,70
10044,2007,112
10044,2008,54
10044,2009,42
10044,2010,47
10044,2011,53
10044,2012,49
10044,2013,53
10044,2014,52
10044,2015,60
10044,2016,52
10065,2006,774
10065,2007,747
10065,2008,748
10065,2009,626
10065,2010,572
10065,2011,596
10065,2012,646
10065,2013,687
10065,2014,635
10065,2015,641
10065,2016,697
10069,2006,17
10069,2007,24
10069,2008,23
10069,2009,20
10069,2010,18
10069,2011,26
10069,2012,34
10069,2013,18
10069,2014,21
10069,2015,11
10069,2016,9
10075,2006,374
10075,2007,375
10075,2008,352
10075,2009,266
10075,2010,245
10075,2011,274
10075,2012,285
10075,2013,254
10075,2014,225
10075,2015,260
10075,2016,259
10080,2006,16
10080,2007,12
10080,2012,1
10080,2010,2
10080,2016,2
10080,2014,3
10080,2011,4
10080,2015,6
10080,2008,7
10104,2007,1
10105,2009,8
10105,2014,8
10105,2015,1
10105,2006,3
10105,2012,4
10105,2016,4
10105,2013,5
10105,2007,6
10105,2011,6
10105,2008,7
10105,2010,9
10107,2006,20
10107,2007,22
10107,2008,15
10107,2009,20
10107,2010,13
10107,2011,19
10107,2012,16
10107,2013,11
10107,2014,12
10107,2015,21
10107,2016,33
10110,2015,1
10110,2011,3
10110,2016,3
10110,2013,4
10110,2014,4
10110,2007,5
10110,2012,5
10110,2009,6
10110,2010,6
10110,2008,7
10110,2006,9
10111,2006,13
10111,2008,19
10111,2011,16
10111,2012,26
10111,2013,23
10111,2014,8
10111,2015,11
10111,2016,10
10111,2007,7
10111,2009,9
10111,2010,14
10112,2006,31
10112,2007,25
10112,2008,32
10112,2009,24
10112,2010,24
10112,2011,22
10112,2012,19
10112,2013,23
10112,2014,17
10112,2015,18
10112,2016,17
10115,2006,13
10115,2008,8
10115,2011,11
10115,2012,18
10115,2009,4
10115,2016,5
10115,2013,6
10115,2015,6
10115,2014,7
10115,2007,9
10115,2010,14
10118,2007,1
10118,2013,1
10118,2008,2
10118,2009,2
10118,2014,2
10118,2015,2
10118,2011,3
10118,2012,4
10118,2016,4
10118,2010,7
10118,2006,9
10119,2006,156
10119,2007,140
10119,2008,95
10119,2009,95
10119,2010,105
10119,2011,78
10119,2012,99
10119,2013,100
10119,2014,80
10119,2015,62
10119,2016,68
10128,2006,814
10128,2007,679
10128,2008,633
10128,2009,557
10128,2010,551
10128,2011,523
10128,2012,567
10128,2013,540
10128,2014,516
10128,2015,583
10128,2016,551
10153,2006,11
10153,2007,17
10153,2008,22
10153,2009,23
10153,2010,37
10153,2011,31
10153,2012,41
10153,2013,36
10153,2014,47
10153,2015,39
10153,2016,31
10154,2009,1
10154,2014,1
10154,2015,1
10154,2007,3
10154,2012,3
10154,2008,4
10154,2010,4
10154,2011,4
10154,2016,4
