ZIP,BORO,NEIGHBORHOOD,NAME,WIKILINK
11435,Queens,Jamaica,Briardwood,"Briarwood,_Queens"
11436,Queens,Jamaica,South Jamaica,"South_Jamaica,_Queens"
11691,Queens,Rockaways,Far Rockaway,"Far_Rockaway,_Queens"
11692,Queens,Rockaways,Arverne,"Arverne,_Queens"
11693,Queens,Rockaways,Arverne,"Arverne,_Queens"
11694,Queens,Rockaways,Rockaway Park,"Rockaway_Park,_Queens"
11697,Queens,Rockaways,Breezy Point,"Breezy_Point,_Queens"
10001,Manhattan,Chelsea and Clinton,Chelsea,"Chelsea,_Manhattan"
10002,Manhattan,Lower East Side,Lower East Side,Lower_East_Side
10003,Manhattan,Lower East Side,East Village,"East_Village,_Manhattan"
10004,Manhattan,Lower Manhattan,Financial District,"Financial_District,_Manhattan"
10005,Manhattan,Lower Manhattan,Financial District,"Financial_District,_Manhattan"
10006,Manhattan,Lower Manhattan,Financial District,"Financial_District,_Manhattan"
10007,Manhattan,Lower Manhattan,Tribeca,Tribeca
10009,Manhattan,Lower East Side,East Village,"East_Village,_Manhattan"
10010,Manhattan,Gramercy Park and Murray Hill,Gramercy Park,Gramercy_Park
10011,Manhattan,Chelsea and Clinton,Chelsea,"Chelsea,_Manhattan"
10012,Manhattan,Greenwich Village and Soho,Soho,Soho
10013,Manhattan,Greenwich Village and Soho,Tribeca,Tribeca
10014,Manhattan,Greenwich Village and Soho,Greenwich Village,Greenwich_Village
10016,Manhattan,Gramercy Park and Murray Hill,Murray Hill,"Murray_Hill,_Manhattan"
10017,Manhattan,Gramercy Park and Murray Hill,Turtle Bay,"Turtle_Bay,_Manhattan"
10018,Manhattan,Chelsea and Clinton,Hell's Kitchen,"Hell%27s_Kitchen,_Manhattan"
10019,Manhattan,Chelsea and Clinton,Hell's Kitchen,"Hell%27s_Kitchen,_Manhattan"
10021,Manhattan,Upper East Side,Upper East Side,Upper_East_Side
10022,Manhattan,Gramercy Park and Murray Hill,Midtown East,Midtown_Manhattan#Neighborhoods
10023,Manhattan,Upper West Side,Upper West Side,Upper_West_Side
10024,Manhattan,Upper West Side,Upper West Side,Upper_West_Side
10025,Manhattan,Upper West Side,Upper West Side,Upper_West_Side
10026,Manhattan,Central Harlem,Central Harlem,Harlem
10027,Manhattan,Central Harlem,West Harlem,Harlem
10028,Manhattan,Upper East Side,Yorkville,"Yorkville,_Manhattan"
10029,Manhattan,East Harlem,East Harlem,East_Harlem
10030,Manhattan,Central Harlem,Central Harlem,Harlem
10031,Manhattan,Inwood and Washington Heights,Hamilton Heights,"Hamilton_Heights,_Manhattan"
10032,Manhattan,Inwood and Washington Heights,Washington Heights,"Washington_Heights,_Manhattan"
10033,Manhattan,Inwood and Washington Heights,Washington Heights,"Washington_Heights,_Manhattan"
10034,Manhattan,Inwood and Washington Heights,Inwood,"Inwood,_Manhattan"
